suite_size,trial,coverage_mode,pielou_class,spatial_diversity,wisdom_overall,wisdom_early,wisdom_middle,wisdom_late,wisdom_variability,neuron_coverage,coverage_var,act_profile_div,act_profile_div_late
10,0,cluster,0.7746098518141732,0.7910460963489724,0.32388205828779604,0.2886111111111111,0.3315997942386831,0.33364898989898994,0.020764918614519807,0.1039685383439064,0.020764918614519807,0.0,0.0
10,1,cluster,0.7716408802097083,0.9241701521520373,0.3399316939890711,0.28055555555555556,0.3724639917695473,0.3323926767676768,0.037623807576292065,0.10440411418676376,0.037623807576292065,0.0,0.0
10,2,cluster,0.838205105782902,0.8847257024347058,0.33026411657559196,0.28576388888888893,0.3366460905349794,0.34670454545454543,0.026674862453827712,0.10592861473560333,0.026674862453827712,0.0,0.0
10,3,cluster,0.879313452610132,0.8148677078108006,0.3302959927140255,0.30583333333333335,0.32856481481481487,0.34576388888888887,0.016353652892392535,0.10632789134979248,0.016353652892392535,0.0,0.0
10,4,cluster,0.74378745634285,0.9013805157636684,0.3311293260473588,0.23604166666666668,0.353395061728395,0.35566919191919194,0.055864653701485766,0.10845734924077988,0.055864653701485766,0.0,0.0
20,0,cluster,0.7279599394151195,0.8903189187346293,0.4536976320582877,0.37708333333333327,0.47588991769547323,0.46825126262626265,0.04488588183894752,0.10468239337205887,0.04488588183894752,0.0,0.0
20,1,cluster,0.7868131275425868,0.9096013896964442,0.46218806921675776,0.4045833333333333,0.471440329218107,0.48225378787878787,0.03435030049397988,0.10700544714927673,0.03435030049397988,0.0,0.0
20,2,cluster,0.6976887100452409,0.9398392440132889,0.4506010928961749,0.3754166666666667,0.4554166666666667,0.4857007575757576,0.04652324015399271,0.10693889856338501,0.04652324015399271,0.0,0.0
20,3,cluster,0.7283601989159907,0.9130379954004406,0.4568897996357013,0.38652777777777775,0.4786008230452675,0.46862373737373736,0.041253598476453074,0.10562008619308472,0.041253598476453074,0.0,0.0
20,4,cluster,0.6745077397257556,0.8694000177452815,0.44461293260473583,0.3800694444444444,0.4601388888888889,0.460763888888889,0.037893271057360754,0.10443436354398727,0.037893271057360754,0.0,0.0
50,0,cluster,0.7538738556775806,0.8843174280186119,0.6028847905282331,0.5550694444444443,0.628775720164609,0.5971906565656565,0.03019276556772238,0.10434120148420334,0.03019276556772238,0.0,0.0
50,1,cluster,0.6959580464196345,0.8793000094963263,0.625785519125683,0.5438194444444445,0.6414146090534979,0.6513131313131313,0.04850852114676573,0.10586085915565491,0.04850852114676573,0.0,0.0
50,2,cluster,0.7488038479250766,0.8735362133088878,0.6180350637522768,0.5585416666666666,0.6412911522633744,0.6219444444444444,0.035342270410451175,0.10562129318714142,0.035342270410451175,0.0,0.0
50,3,cluster,0.750329014806852,0.8850955429909444,0.604341985428051,0.5411111111111111,0.6158281893004115,0.6247348484848486,0.03749799965527876,0.10727646946907043,0.03749799965527876,0.0,0.0
50,4,cluster,0.721244541386556,0.8887280305551817,0.6200432604735884,0.5774305555555556,0.6328292181069958,0.6275946969696969,0.024972992318020387,0.10548820346593857,0.024972992318020387,0.0,0.0
100,0,cluster,0.7328526469252382,0.8797346054980832,0.7141120218579234,0.6709722222222223,0.7244341563786008,0.7249747474747473,0.025330577429317366,0.10604960471391678,0.025330577429317366,0.0,0.0
100,1,cluster,0.7139466602528266,0.8812501046009465,0.7288547358834244,0.666388888888889,0.7527417695473252,0.7336111111111111,0.03703096189633002,0.1058475524187088,0.03703096189633002,0.0,0.0
100,2,cluster,0.7147051066034155,0.8675413342434858,0.7015505464480873,0.6477083333333333,0.7196913580246914,0.708655303030303,0.03165417906199428,0.10552087426185608,0.03165417906199428,0.0,0.0
100,3,cluster,0.6923161651413323,0.8569951408265813,0.7208242258652094,0.6681944444444445,0.7498611111111112,0.7138952020202018,0.03341914006503549,0.10579915344715118,0.03341914006503549,0.0,0.0
100,4,cluster,0.7257236208002497,0.8509450352502773,0.7082513661202186,0.6338194444444444,0.7323045267489712,0.719330808080808,0.04369060682618235,0.10588626563549042,0.04369060682618235,0.0,0.0
