iteration,scope,variant,coverage_mode,C_O_early,C_union_early,delta_early,mag_early,C_O_middle,C_union_middle,delta_middle,mag_middle,C_O_late,C_union_late,delta_late,mag_late,C_O_overall,C_union_overall,delta_overall,mag_overall
0,dataset,I,cluster,1.0,1.0,0.0,0.07733499463750682,1.0,1.0,0.0,0.06443300492552105,0.8888888888888888,0.8888888888888888,0.0,0.2924682772640372,0.9629629629629629,0.9629629629629629,0.0,0.14474542560902165
0,dataset,R,cluster,1.0,1.0,0.0,0.09882937518672408,1.0,1.0,0.0,0.04908728208544198,0.8888888888888888,0.9259259259259259,0.03703703703703709,0.24643153382434202,0.9629629629629629,0.9753086419753086,0.012345679012345734,0.13144939703216935
0,dataset,I_obj,cluster,1.0,1.0,0.0,0.04299298458364478,1.0,1.0,0.0,0.030768451940421073,0.8888888888888888,0.8888888888888888,0.0,0.17800830194829906,0.9629629629629629,0.9629629629629629,0.0,0.08392324615745497
0,dataset,R_obj,cluster,1.0,1.0,0.0,0.053205418046634194,1.0,1.0,0.0,0.02912696853626221,0.8888888888888888,0.9259259259259259,0.03703703703703709,0.15803835463997046,0.9629629629629629,0.9753086419753086,0.012345679012345734,0.08012358040762228
0,dataset,I_bg,cluster,1.0,1.0,0.0,0.03675440711368761,1.0,1.0,0.0,0.05003469268709038,0.8888888888888888,0.9629629629629629,0.07407407407407407,0.18648394487647812,0.9629629629629629,0.9876543209876543,0.024691358024691357,0.0910910148924187
0,dataset,R_bg,cluster,1.0,1.0,0.0,0.04876734704865855,1.0,1.0,0.0,0.03053625060326874,0.8888888888888888,0.9259259259259259,0.03703703703703709,0.1558868045543392,0.9629629629629629,0.9753086419753086,0.012345679012345734,0.07839680073542216
1,dataset,I,cluster,1.0,1.0,0.0,0.07728469393205159,1.0,1.0,0.0,0.0647794522138914,0.8888888888888888,0.8888888888888888,0.0,0.29211025283031633,0.9629629629629629,0.9629629629629629,0.0,0.14472479965875312
1,dataset,R,cluster,1.0,1.0,0.0,0.0987134337677629,1.0,1.0,0.0,0.049085308976471426,0.8888888888888888,0.9259259259259259,0.03703703703703709,0.24271767012018244,0.9629629629629629,0.9753086419753086,0.012345679012345734,0.13017213762147226
1,dataset,I_obj,cluster,1.0,1.0,0.0,0.04297576851925487,1.0,1.0,0.0,0.030672341282439446,0.8888888888888888,0.8888888888888888,0.0,0.17635829857663093,0.9629629629629629,0.9629629629629629,0.0,0.08333546945944176
1,dataset,R_obj,cluster,1.0,1.0,0.0,0.05281080834196807,1.0,1.0,0.0,0.029049907771579456,0.8888888888888888,0.8888888888888888,0.0,0.1576139240963336,0.9629629629629629,0.9629629629629629,0.0,0.07982488006996037
1,dataset,I_bg,cluster,1.0,1.0,0.0,0.03684951034901739,1.0,1.0,0.0,0.04993315878729398,0.8888888888888888,0.9629629629629629,0.07407407407407407,0.18613305526679325,0.9629629629629629,0.9876543209876543,0.024691358024691357,0.09097190813436819
1,dataset,R_bg,cluster,1.0,1.0,0.0,0.04862733012613371,1.0,1.0,0.0,0.030528909113379007,0.8888888888888888,0.9629629629629629,0.07407407407407407,0.15432404168694727,0.9629629629629629,0.9876543209876543,0.024691358024691357,0.07782676030881999
2,dataset,I,cluster,1.0,1.0,0.0,0.0775401304564378,1.0,1.0,0.0,0.06484462680471674,0.8888888888888888,0.8888888888888888,0.0,0.28787536045257,0.9629629629629629,0.9629629629629629,0.0,0.1434200392379082
2,dataset,R,cluster,1.0,1.0,0.0,0.09928084000508534,1.0,1.0,0.0,0.04905523507700612,0.8888888888888888,0.8888888888888888,0.0,0.24303287200870302,0.9629629629629629,0.9629629629629629,0.0,0.13045631569693147
2,dataset,I_obj,cluster,1.0,1.0,0.0,0.0430124083452112,1.0,1.0,0.0,0.030715434805664698,0.8888888888888888,0.8888888888888888,0.0,0.17801432518719473,0.9629629629629629,0.9629629629629629,0.0,0.08391405611269022
2,dataset,R_obj,cluster,1.0,1.0,0.0,0.0529592813662919,1.0,1.0,0.0,0.02884426378486296,0.8888888888888888,0.8888888888888888,0.0,0.15574237033462124,0.9629629629629629,0.9629629629629629,0.0,0.07918197182859203
2,dataset,I_bg,cluster,1.0,1.0,0.0,0.03670383961871849,1.0,1.0,0.0,0.05023273852768459,0.8888888888888888,0.9629629629629629,0.07407407407407407,0.18512076163005986,0.9629629629629629,0.9876543209876543,0.024691358024691357,0.09068577992548764
2,dataset,R_bg,cluster,1.0,1.0,0.0,0.048905479495194595,1.0,1.0,0.0,0.030324254561930195,0.8888888888888888,0.9259259259259259,0.03703703703703709,0.15406095394465893,0.9629629629629629,0.9753086419753086,0.012345679012345734,0.07776356266726125
