attack,sample_size,error_rate,coverage_mode,clean_early,mixed_early,delta_early,norm_delta_early,clean_middle,mixed_middle,delta_middle,norm_delta_middle,clean_late,mixed_late,delta_late,norm_delta_late,clean_overall,mixed_overall,delta_overall,norm_delta_overall,clean_variability,mixed_variability,delta_variability,norm_delta_variability
PGD_0.1,50,0.1,cluster,0.5616666666666666,0.5829166666666666,0.02124999999999999,0.03783382789317506,0.6559825102880659,0.6691203703703704,0.013137860082304553,0.02002775969825055,0.6331060606060606,0.6361931818181819,0.003087121212121291,0.004876151729089511,0.6291780510018213,0.6402868852459017,0.011108834244080379,0.017656105813596192,0.04016963656309115,0.03551785989686028,0.004651776666230872,0.11580330479029126
PGD_0.1,50,0.2,cluster,0.5616666666666666,0.5530555555555555,0.008611111111111125,0.015331355093966395,0.6559825102880659,0.658616255144033,0.002633744855967124,0.004014962006853735,0.6331060606060606,0.6344065656565656,0.001300505050505052,0.0020541661680826477,0.6291780510018213,0.6291188524590162,5.9198542805116716e-05,9.408869669063733e-05,0.04016963656309115,0.04515055949837046,0.004980922935279311,0.12399721186065958
PGD_0.1,100,0.05,cluster,0.6600694444444445,0.6661805555555556,0.006111111111111067,0.009258285113098301,0.742119341563786,0.7437397119341563,0.0016203703703703276,0.002183436382288461,0.7239962121212121,0.7262878787878788,0.002291666666666692,0.003165302011667181,0.7194421675774134,0.7221880692167577,0.0027459016393442948,0.003816709338278855,0.03519353643890095,0.033221277526577164,0.0019722589123237835,0.05604037308804693
PGD_0.1,100,0.1,cluster,0.6600694444444445,0.6804861111111111,0.02041666666666664,0.030931088900578597,0.742119341563786,0.7415895061728397,0.0005298353909463094,0.0007139490392877322,0.7239962121212121,0.7294318181818183,0.005435606060606224,0.007507782457425605,0.7194421675774134,0.7251844262295082,0.005742258652094767,0.007981543077229885,0.03519353643890095,0.026409418576645423,0.008784117862255525,0.24959463444389912
PGD_0.1,100,0.2,cluster,0.6600694444444445,0.6605555555555555,0.00048611111111096506,0.0007364544976326035,0.742119341563786,0.7312139917695474,0.010905349794238628,0.014694873430005194,0.7239962121212121,0.71260101010101,0.011395202020202166,0.01573931165581067,0.7194421675774134,0.7106010928961748,0.008841074681238625,0.012288791343728553,0.03519353643890095,0.029903152999201803,0.005290383439699144,0.15032258690125422
PGD_0.1,200,0.05,cluster,0.7401388888888888,0.7385416666666665,0.0015972222222222499,0.002158003377744455,0.81679012345679,0.8180864197530864,0.001296296296296351,0.0015870616686820501,0.7873926767676768,0.7941729797979797,0.00678030303030297,0.00861108215806219,0.7911088342440801,0.7938137522768669,0.0027049180327868294,0.0034191478033125887,0.03157450114238838,0.033323437455707774,0.0017489363133193978,0.055390782119799586
PGD_0.1,200,0.1,cluster,0.7401388888888888,0.7470138888888888,0.0068749999999999645,0.009288797147682446,0.81679012345679,0.8190689300411522,0.002278806584362192,0.0027899536477227565,0.7873926767676768,0.7861047979797978,0.0012878787878789488,0.0016356245439896851,0.7911088342440801,0.7930054644808743,0.0018966302367942056,0.0023974327610770175,0.03157450114238838,0.029451772501963108,0.002122728640425269,0.06722920596124739
PGD_0.1,200,0.2,cluster,0.7401388888888888,0.7447222222222222,0.004583333333333384,0.006192531431788397,0.81679012345679,0.824320987654321,0.0075308641975310175,0.009220072551390757,0.7873926767676768,0.7855555555555557,0.0018371212121210956,0.002333170305396611,0.7911088342440801,0.7946812386156648,0.003572404371584681,0.004515692679627555,0.03157450114238838,0.03249971503333087,0.0009252138909424945,0.029302565597795188
Feature_0.1,50,0.05,cluster,0.5616666666666666,0.5624305555555557,0.0007638888888890083,0.001360039564787552,0.6559825102880659,0.6596707818930041,0.0036882716049382314,0.0056225151541289976,0.6331060606060606,0.6322853535353535,0.0008207070707070274,0.001296318455586067,0.6291780510018213,0.6306648451730419,0.0014867941712205512,0.0023630738053452014,0.04016963656309115,0.0409407649405938,0.0007711283775026501,0.019196797468941547
Feature_0.1,50,0.1,cluster,0.5616666666666666,0.5624305555555557,0.0007638888888890083,0.001360039564787552,0.6559825102880659,0.6617489711934157,0.005766460905349824,0.008790571112662075,0.6331060606060606,0.638175505050505,0.00506944444444446,0.008007259383351307,0.6291780510018213,0.6337090163934425,0.004530965391621122,0.007201404092858296,0.04016963656309115,0.04237026389763634,0.002200627334545187,0.05478335187546051
Feature_0.1,50,0.2,cluster,0.5616666666666666,0.5723611111111111,0.01069444444444445,0.01904055390702276,0.6559825102880659,0.6504218106995885,0.00556069958847738,0.008476902205876607,0.6331060606060606,0.647790404040404,0.014684343434343439,0.023194128674564246,0.6291780510018213,0.6341165755919855,0.004938524590164195,0.007849168581613313,0.04016963656309115,0.03619388431007769,0.003975752253013463,0.09897406581633059
Feature_0.1,100,0.05,cluster,0.6600694444444445,0.6730555555555555,0.012986111111111032,0.019673855865333913,0.742119341563786,0.7495318930041152,0.0074125514403291515,0.009988355005961038,0.7239962121212121,0.7232386363636364,0.0007575757575757347,0.0010463808303031571,0.7194421675774134,0.7250045537340618,0.005562386156648391,0.007731526462201518,0.03519353643890095,0.03172504642094217,0.003468490017958778,0.0985547452436438
Feature_0.1,100,0.1,cluster,0.6600694444444445,0.6608333333333333,0.0007638888888887863,0.0011572856391371406,0.742119341563786,0.7512962962962961,0.009176954732510123,0.012365874622230625,0.7239962121212121,0.7439962121212121,0.020000000000000018,0.02762445392000421,0.7194421675774134,0.7308674863387977,0.011425318761384307,0.0158808022052098,0.03519353643890095,0.041032376519157455,0.005838840080256508,0.16590660306028762
Feature_0.1,100,0.2,cluster,0.6600694444444445,0.668888888888889,0.00881944444444449,0.013361388742767034,0.742119341563786,0.7606584362139918,0.018539094650205756,0.02498128483100895,0.7239962121212121,0.7385227272727274,0.014526515151515262,0.0200643524210638,0.7194421675774134,0.7346220400728597,0.015179872495446278,0.02109950344801397,0.03519353643890095,0.039101734651281674,0.003908198212380726,0.11104874951017495
Feature_0.1,200,0.05,cluster,0.7401388888888888,0.7479166666666667,0.007777777777777883,0.010508538187277306,0.81679012345679,0.81369341563786,0.0030967078189300112,0.003791313986295812,0.7873926767676768,0.791104797979798,0.0037121212121212777,0.004714447215028586,0.7911088342440801,0.7926070127504554,0.0014981785063753472,0.0018937704163130551,0.03157450114238838,0.027288664800286935,0.004285836342101442,0.13573726225393185
Feature_0.1,200,0.1,cluster,0.7401388888888888,0.7430555555555555,0.0029166666666666785,0.003940701820228953,0.81679012345679,0.8240792181069958,0.007289094650205774,0.008924072954453867,0.7873926767676768,0.8047979797979798,0.017405303030303076,0.02210498464597554,0.7911088342440801,0.8011862477231328,0.010077413479052777,0.012738340216718654,0.03157450114238838,0.034558689203714264,0.0029841880613258875,0.09451259571349654
Feature_0.1,200,0.2,cluster,0.7401388888888888,0.7470833333333332,0.00694444444444442,0.009382623381497434,0.81679012345679,0.8296090534979425,0.012818930041152421,0.015694276501410916,0.7873926767676768,0.8097853535353535,0.022392676767676756,0.028439020870248456,0.7911088342440801,0.8062249544626594,0.015116120218579332,0.01910751032507819,0.03157450114238838,0.035174196518200196,0.003599695375811819,0.11400640534520663
