iteration,scope,variant,coverage_mode,C_O_early,C_union_early,delta_early,mag_early,C_O_middle,C_union_middle,delta_middle,mag_middle,C_O_late,C_union_late,delta_late,mag_late,C_O_overall,C_union_overall,delta_overall,mag_overall
0,dataset,I,cluster,0.808641975308642,0.8364197530864197,0.02777777777777768,0.16561638572641343,0.9017094017094016,0.9216524216524216,0.019943019943019946,0.28906246716494366,0.8754208754208754,0.898989898989899,0.023569023569023573,0.2618755991860772,0.8734567901234568,0.8962962962962961,0.022839506172839363,0.2538173133887161
0,dataset,R,cluster,0.808641975308642,0.8364197530864198,0.02777777777777779,0.22867737057620735,0.9017094017094016,0.9173789173789172,0.015669515669515577,0.3061044898148378,0.8754208754208754,0.9023569023569025,0.026936026936027035,0.25173285414854235,0.8734567901234568,0.895679012345679,0.022222222222222254,0.27008243192463327
0,dataset,I_obj,cluster,0.808641975308642,0.8333333333333334,0.024691358024691357,0.08741050086888975,0.9017094017094016,0.9159544159544161,0.014245014245014453,0.16917700118266046,0.8754208754208754,0.9006734006734006,0.025252525252525193,0.1648043051606157,0.8734567901234568,0.8938271604938272,0.020370370370370372,0.1509160297207921
0,dataset,R_obj,cluster,0.808641975308642,0.8302469135802472,0.021604938271605145,0.11559222665605678,0.9017094017094016,0.9188034188034186,0.017094017094017033,0.18090813141100107,0.8754208754208754,0.898989898989899,0.023569023569023573,0.16252484420692606,0.8734567901234568,0.8938271604938269,0.02037037037037015,0.16076875555423864
0,dataset,I_bg,cluster,0.808641975308642,0.8240740740740743,0.015432098765432278,0.08829992145900743,0.9017094017094016,0.9230769230769231,0.021367521367521514,0.1656001607645924,0.8754208754208754,0.888888888888889,0.013468013468013518,0.1581177147450208,0.8734567901234568,0.8907407407407407,0.01728395061728394,0.14708801357649756
0,dataset,R_bg,cluster,0.808641975308642,0.8395061728395063,0.030864197530864335,0.12393748592002604,0.9017094017094016,0.9173789173789172,0.015669515669515577,0.1679407525895784,0.8754208754208754,0.8855218855218855,0.010101010101010055,0.14271929017115728,0.8734567901234568,0.8901234567901234,0.016666666666666607,0.149586322534665
1,dataset,I,cluster,0.808641975308642,0.8425925925925926,0.033950617283950546,0.16573850425074085,0.9017094017094016,0.9273504273504274,0.025641025641025772,0.2889015475276112,0.8754208754208754,0.9074074074074073,0.031986531986531896,0.26253313744056855,0.8734567901234568,0.9030864197530862,0.02962962962962945,0.25401914852358776
1,dataset,R,cluster,0.808641975308642,0.8395061728395062,0.030864197530864224,0.22855679318733105,0.9017094017094016,0.9173789173789173,0.015669515669515688,0.3069304599615435,0.8754208754208754,0.9023569023569025,0.026936026936027035,0.25227860865911295,0.8734567901234568,0.8962962962962961,0.022839506172839363,0.27061139674215334
1,dataset,I_obj,cluster,0.808641975308642,0.8333333333333334,0.024691358024691357,0.08739241649280302,0.9017094017094016,0.9159544159544161,0.014245014245014453,0.1687542170490076,0.8754208754208754,0.8973063973063973,0.02188552188552184,0.16377179522707944,0.8734567901234568,0.8925925925925926,0.01913580246913582,0.1503482020192301
1,dataset,R_obj,cluster,0.808641975308642,0.8333333333333334,0.024691358024691357,0.11549023313681958,0.9017094017094016,0.9216524216524216,0.019943019943019946,0.18009826589037978,0.8754208754208754,0.8939393939393938,0.01851851851851838,0.16254654698824567,0.8734567901234568,0.8938271604938272,0.020370370370370372,0.1604129403159785
1,dataset,I_bg,cluster,0.808641975308642,0.8302469135802469,0.021604938271604923,0.08829881769843309,0.9017094017094016,0.9188034188034186,0.017094017094017033,0.1651610300571223,0.8754208754208754,0.8922558922558923,0.01683501683501687,0.15798199188627415,0.8734567901234568,0.891358024691358,0.01790123456790127,0.14685110822554726
1,dataset,R_bg,cluster,0.808641975308642,0.8425925925925927,0.03395061728395066,0.123958424986463,0.9017094017094016,0.9159544159544161,0.014245014245014453,0.1681179877122243,0.8754208754208754,0.8905723905723906,0.015151515151515138,0.14229519174115338,0.8734567901234568,0.8919753086419752,0.01851851851851838,0.14950754255844978
2,dataset,I,cluster,0.808641975308642,0.8364197530864197,0.02777777777777768,0.16561252365504492,0.9017094017094016,0.9230769230769231,0.021367521367521514,0.28865786695122714,0.8754208754208754,0.9057239057239058,0.030303030303030387,0.26155791320284894,0.8734567901234568,0.8993827160493827,0.025925925925925908,0.25352662793396435
2,dataset,R,cluster,0.808641975308642,0.8364197530864198,0.02777777777777779,0.22877888885205094,0.9017094017094016,0.9173789173789173,0.015669515669515688,0.3069522562651089,0.8754208754208754,0.8973063973063973,0.02188552188552184,0.25178235264348264,0.8734567901234568,0.8938271604938272,0.020370370370370372,0.2704807598476093
2,dataset,I_obj,cluster,0.808641975308642,0.8333333333333334,0.024691358024691357,0.08738640896592469,0.9017094017094016,0.9188034188034189,0.017094017094017255,0.16878845663490394,0.8754208754208754,0.8973063973063973,0.02188552188552184,0.16406313675193282,0.8734567901234568,0.8938271604938273,0.020370370370370483,0.15047012427129183
2,dataset,R_obj,cluster,0.808641975308642,0.8364197530864198,0.02777777777777779,0.1155925545535348,0.9017094017094016,0.9202279202279201,0.01851851851851849,0.18110060279756787,0.8754208754208754,0.8905723905723907,0.015151515151515249,0.16213963855261151,0.8734567901234568,0.8925925925925925,0.01913580246913571,0.16070674191083162
2,dataset,I_bg,cluster,0.808641975308642,0.8333333333333335,0.024691358024691468,0.08836365263986713,0.9017094017094016,0.9230769230769229,0.02136752136752129,0.16524572595871986,0.8754208754208754,0.8922558922558921,0.016835016835016647,0.15726377186743593,0.8734567901234568,0.8938271604938269,0.02037037037037015,0.14663237223271178
