Attribution Method,Top-N,Confidence Drop,Baseline Conf,Pruned Conf,Mean IoU,Baseline IoU,IoU Drop,Cls Accuracy,Baseline Cls Acc,Cls Acc Drop,Det Recall,Baseline Recall,Recall Drop
IntegGrad,6,4.6161069297790505,47.122840309143065,42.506733379364015,0.6633197379488908,0.6839936443144735,0.02067390636558275,0.7677364864864865,0.7962662337662337,0.02852974727974722,0.8199445983379502,0.853185595567867,0.0332409972299168
IntegGrad,8,5.2470419883728,47.122840309143065,41.875798320770265,0.6597180368965025,0.6839936443144735,0.024275607417970968,0.7565290648694187,0.7962662337662337,0.039737168896815,0.8220221606648199,0.853185595567867,0.03116343490304707
IntegGrad,10,4.663406467437746,47.122840309143065,42.45943384170532,0.6583473180128355,0.6839936443144735,0.02564632630163799,0.7510584250635055,0.7962662337662337,0.045207808702728225,0.8178670360110804,0.853185595567867,0.035318559556786644
IntegGrad,15,15.712191243171691,47.122840309143065,31.410649065971374,0.6092632757696099,0.6839936443144735,0.07473036854486359,0.612621359223301,0.7962662337662337,0.18364487454293277,0.7132963988919667,0.853185595567867,0.13988919667590027
IntegGrad,20,21.238973426818845,47.122840309143065,25.88386688232422,0.6024447549643993,0.6839936443144735,0.0815488893500742,0.5467706013363028,0.7962662337662337,0.2494956324299309,0.6218836565096952,0.853185595567867,0.23130193905817176
Random (IntegGrad),6,4.230231342315669,47.122840309143065,42.892608966827396,0.676436357791385,0.6839936443144735,0.007557286523088513,0.777504105090312,0.7962662337662337,0.018762128675921752,0.8434903047091413,0.853185595567867,0.00969529085872567
Random (IntegGrad),8,0.8011363029479952,47.122840309143065,46.32170400619507,0.6805494744716551,0.6839936443144735,0.0034441698428183676,0.7931873479318735,0.7962662337662337,0.0030788858343602232,0.8538781163434903,0.853185595567867,-0.0006925207756233176
Random (IntegGrad),10,4.117560224533079,47.122840309143065,43.005280084609986,0.6796065567782935,0.6839936443144735,0.004387087536180001,0.7821368948247078,0.7962662337662337,0.014129338941525904,0.8296398891966759,0.853185595567867,0.023545706371191133
Random (IntegGrad),15,22.273847370147703,47.122840309143065,24.848992938995362,0.6268634873751733,0.6839936443144735,0.057130156939300236,0.6707193515704154,0.7962662337662337,0.12554688219581833,0.6835180055401662,0.853185595567867,0.16966759002770082
Random (IntegGrad),20,5.147652111053468,47.122840309143065,41.9751881980896,0.6673296485641595,0.6839936443144735,0.016663995750313965,0.7892976588628763,0.7962662337662337,0.0069685749033574496,0.8282548476454293,0.853185595567867,0.024930747922437657
GradShap,6,31.486040682792662,47.122840309143065,15.636799626350403,0.5913902882490801,0.6839936443144735,0.09260335606539338,0.3848987108655617,0.7962662337662337,0.411367522900672,0.3760387811634349,0.853185595567867,0.4771468144044321
GradShap,8,29.111304388046264,47.122840309143065,18.0115359210968,0.5907501883779064,0.6839936443144735,0.09324345593656713,0.4611727416798732,0.7962662337662337,0.3350934920863605,0.43698060941828254,0.853185595567867,0.41620498614958445
GradShap,10,31.886635341644286,47.122840309143065,15.236204967498779,0.5808712251445278,0.6839936443144735,0.10312241916994569,0.39344262295081966,0.7962662337662337,0.40282361081541407,0.3801939058171745,0.853185595567867,0.4729916897506925
GradShap,15,39.35610551834106,47.122840309143065,7.766734790802002,0.5063703441339609,0.6839936443144735,0.17762330018051264,0.1726027397260274,0.7962662337662337,0.6236634940402064,0.25277008310249305,0.853185595567867,0.600415512465374
GradShap,20,40.32961344003677,47.122840309143065,6.7932268691062925,0.5007981320581445,0.6839936443144735,0.18319551225632902,0.1329479768786127,0.7962662337662337,0.663318256887621,0.23961218836565096,0.853185595567867,0.6135734072022161
Random (GradShap),6,1.2816412544250468,47.122840309143065,45.84119905471802,0.6766286807441442,0.6839936443144735,0.0073649635703293415,0.7983673469387755,0.7962662337662337,-0.002101113172541802,0.8483379501385041,0.853185595567867,0.00484764542936289
Random (GradShap),8,0.7401033973693814,47.122840309143065,46.382736911773684,0.6821275794843432,0.6839936443144735,0.0018660648301302984,0.7983739837398374,0.7962662337662337,-0.0021077499736036343,0.8518005540166205,0.853185595567867,0.0013850415512465242
Random (GradShap),10,-0.14181731224060456,47.122840309143065,47.26465762138367,0.6794672990132983,0.6839936443144735,0.004526345301175239,0.7907542579075426,0.7962662337662337,0.0055119758586911205,0.8538781163434903,0.853185595567867,-0.0006925207756233176
Random (GradShap),15,7.507887554168697,47.122840309143065,39.61495275497437,0.6724630111501526,0.6839936443144735,0.011530633164320903,0.7526501766784452,0.7962662337662337,0.043616057087788485,0.7839335180055401,0.853185595567867,0.06925207756232687
Random (GradShap),20,42.75338115096092,47.122840309143065,4.369459158182144,0.3870199283210031,0.6839936443144735,0.2969737159934704,0.13013698630136986,0.7962662337662337,0.6661292474648639,0.10110803324099724,0.853185595567867,0.7520775623268697
