iteration,scope,variant,coverage_mode,C_O_early,C_union_early,delta_early,mag_early,C_O_middle,C_union_middle,delta_middle,mag_middle,C_O_late,C_union_late,delta_late,mag_late,C_O_overall,C_union_overall,delta_overall,mag_overall
0,dataset,I,cluster,0.7078189300411523,0.757201646090535,0.04938271604938271,0.05010976982464476,0.6666666666666666,0.7448559670781894,0.07818930041152272,0.2424530193380901,0.7283950617283951,0.7695473251028807,0.04115226337448563,0.5955699487058632,0.700960219478738,0.7572016460905351,0.056241426611797096,0.2960442459561993
0,dataset,R,cluster,0.7078189300411523,0.7613168724279835,0.053497942386831254,0.061963600853177196,0.6666666666666666,0.7654320987654321,0.09876543209876543,0.20576730395191353,0.7283950617283951,0.7695473251028807,0.04115226337448563,0.5398644078232115,0.700960219478738,0.7654320987654321,0.06447187928669407,0.2691984375427674
0,dataset,I_obj,cluster,0.7078189300411523,0.7489711934156379,0.04115226337448563,0.027712838018880574,0.6666666666666666,0.7242798353909465,0.057613168724279906,0.13944755809512918,0.7283950617283951,0.7654320987654321,0.03703703703703698,0.3584287123060151,0.700960219478738,0.7462277091906722,0.04526748971193417,0.1751963694733416
0,dataset,R_obj,cluster,0.7078189300411523,0.7530864197530864,0.04526748971193417,0.03306149054491891,0.6666666666666666,0.720164609053498,0.053497942386831365,0.12895501066317344,0.7283950617283951,0.7777777777777778,0.04938271604938271,0.3298778709372037,0.700960219478738,0.7503429355281207,0.04938271604938271,0.16396479071509867
0,dataset,I_bg,cluster,0.7078189300411523,0.7407407407407407,0.03292181069958844,0.024161437467416242,0.6666666666666666,0.7283950617283951,0.06172839506172845,0.13847803372585457,0.7283950617283951,0.757201646090535,0.028806584362139898,0.3508296571923376,0.700960219478738,0.7421124828532236,0.04115226337448563,0.17115637612853615
0,dataset,R_bg,cluster,0.7078189300411523,0.7489711934156379,0.04115226337448563,0.030567542685245405,0.6666666666666666,0.7366255144032922,0.06995884773662553,0.1188494399604831,0.7283950617283951,0.7654320987654321,0.03703703703703698,0.3181959273557267,0.700960219478738,0.7503429355281207,0.04938271604938271,0.15587097000048505
1,dataset,I,cluster,0.7078189300411523,0.7613168724279835,0.053497942386831254,0.05009390699370444,0.6666666666666666,0.7530864197530864,0.0864197530864198,0.24240803952601153,0.7283950617283951,0.7613168724279835,0.03292181069958844,0.5979401572167362,0.700960219478738,0.7585733882030178,0.057613168724279795,0.29681403457881733
1,dataset,R,cluster,0.7078189300411523,0.7613168724279835,0.053497942386831254,0.062127512160950936,0.6666666666666666,0.7489711934156379,0.08230452674897126,0.20528613693593997,0.7283950617283951,0.7654320987654321,0.03703703703703698,0.5383618784181529,0.700960219478738,0.7585733882030178,0.057613168724279795,0.2685918425050146
1,dataset,I_obj,cluster,0.7078189300411523,0.7530864197530864,0.04526748971193417,0.027712021350398044,0.6666666666666666,0.720164609053498,0.053497942386831365,0.13973432183653509,0.7283950617283951,0.7695473251028807,0.04115226337448563,0.3576624796676054,0.700960219478738,0.7475994513031551,0.04663923182441709,0.17503627428484617
1,dataset,R_obj,cluster,0.7078189300411523,0.7530864197530864,0.04526748971193417,0.03295373408619068,0.6666666666666666,0.7283950617283951,0.06172839506172845,0.128639555430263,0.7283950617283951,0.7818930041152263,0.053497942386831254,0.32669395395495,0.700960219478738,0.7544581618655691,0.05349794238683114,0.16276241449046788
