iteration,scope,variant,coverage_mode,C_O_early,C_union_early,delta_early,mag_early,C_O_middle,C_union_middle,delta_middle,mag_middle,C_O_late,C_union_late,delta_late,mag_late,C_O_overall,C_union_overall,delta_overall,mag_overall
0,dataset,I,cluster,0.5794270833333334,0.6276041666666666,0.04817708333333326,0.17796082048217712,0.6469907407407407,0.6950231481481481,0.04803240740740744,0.3030605116519384,0.5887784090909091,0.6505681818181818,0.06178977272727271,0.26091474454433683,0.6127049180327869,0.6657274590163934,0.05302254098360648,0.2625871254785323
0,dataset,R,cluster,0.5794270833333334,0.6197916666666666,0.04036458333333326,0.23745339264537002,0.6469907407407407,0.7025462962962963,0.05555555555555558,0.34345045768399124,0.5887784090909091,0.6420454545454546,0.053267045454545525,0.26443962985402764,0.6127049180327869,0.6644467213114754,0.05174180327868849,0.29328040780528036
0,dataset,I_obj,cluster,0.5794270833333334,0.6119791666666666,0.03255208333333326,0.09639064660203683,0.6469907407407407,0.6892361111111112,0.04224537037037046,0.17923858749948873,0.5887784090909091,0.6342329545454546,0.045454545454545525,0.16563870175745138,0.6127049180327869,0.6542008196721312,0.041495901639344246,0.15768237454791798
0,dataset,R_obj,cluster,0.5794270833333334,0.6158854166666666,0.03645833333333326,0.123128904618069,0.6469907407407407,0.6869212962962963,0.03993055555555558,0.2044366405616538,0.5887784090909091,0.6356534090909091,0.046875,0.17176915798159878,0.6127049180327869,0.6544569672131147,0.04175204918032782,0.1761970164269167
0,dataset,I_bg,cluster,0.5794270833333334,0.62890625,0.04947916666666663,0.090977244039071,0.6469907407407407,0.6822916666666666,0.03530092592592593,0.17541523836736672,0.5887784090909091,0.6313920454545454,0.042613636363636354,0.1605990848010653,0.6127049180327869,0.6534323770491803,0.04072745901639341,0.15309504986073041
0,dataset,R_bg,cluster,0.5794270833333334,0.6184895833333334,0.0390625,0.12421495998805768,0.6469907407407407,0.6799768518518519,0.03298611111111116,0.18402374453579962,0.5887784090909091,0.6306818181818182,0.04190340909090917,0.1471137964783702,0.6127049180327869,0.6501024590163934,0.03739754098360648,0.15852834000519375
1,dataset,I,cluster,0.5794270833333334,0.6276041666666666,0.04817708333333326,0.17781804837904122,0.6469907407407407,0.6944444444444444,0.04745370370370372,0.3024444590802663,0.5887784090909091,0.6470170454545454,0.058238636363636354,0.26172258301087736,0.6127049180327869,0.6641905737704918,0.051485655737704916,0.26258782238124534
1,dataset,R,cluster,0.5794270833333334,0.62109375,0.04166666666666663,0.2368872196499918,0.6469907407407407,0.7083333333333334,0.06134259259259267,0.3430435480785448,0.5887784090909091,0.6463068181818182,0.05752840909090917,0.26654064254426035,0.6127049180327869,0.6688012295081968,0.05609631147540983,0.29376121703026326
1,dataset,I_obj,cluster,0.5794270833333334,0.609375,0.02994791666666663,0.09628570092217059,0.6469907407407407,0.6817129629629629,0.03472222222222221,0.17928043331135995,0.5887784090909091,0.6363636363636364,0.04758522727272729,0.16676703068776988,0.6127049180327869,0.6511270491803278,0.038422131147540894,0.1580932392048724
1,dataset,R_obj,cluster,0.5794270833333334,0.6158854166666666,0.03645833333333326,0.12338230997164727,0.6469907407407407,0.6932870370370371,0.04629629629629639,0.20436788824171973,0.5887784090909091,0.6420454545454546,0.053267045454545525,0.16969586392321312,0.6127049180327869,0.6595799180327869,0.046875,0.17545769700425284
